Шифр расценки и коды ресурсов,Наименование работ и затрат,Ед. изм.,Unnamed: 3,Наименование СПГЗ,ID,КПГЗ,Единицы измерения
5.3-3101-1-1/1,Ремонт садовых дорожек из щебня добавлением слоя 5 см,м2,1,Ремонт дорожно-тропиночной сети с покрытием из щебня на особо охраняемых природных территориях,10548507.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Квадратный метр
5.3-3101-1-2/1,"Ремонт садовых дорожек из щебня, добавлять или удалять на каждый 1 см к поз. 3-3101-1-1",м2,1,сопутсвующая работа к 5.3-3101-1-1/1,,,
5.3-3101-3-1/1,"Ремонт грунтовых дорожек при площади выбоин до 0,5 м2 и глубине 5-10 см",100 м2,1,Ремонт дорожно-тропиночной сети с грунтовым покрытием при благоустройстве парков,77612547.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Квадратный метр
5.3-3101-4-1/1,"Замена досок в настилах, мостках, лестницах - отдельных досок до трёх штук в одном месте / доски хвойных пород, обрезные, толщина 40-60 мм",100 м,1,Ремонт лестниц (лестничный спуск) в рамках благоустройства территорий объектов спорта,60046153.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Погонный метр
5.3-3101-4-2/1,"Замена досок в настилах, мостках, лестницах - при сплошной замене досок / доски хвойных пород, обрезные, толщина 40-60 мм",100 м2,1,Ремонт лестниц (лестничный спуск) в рамках благоустройства территорий объектов спорта,60046153.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Погонный метр
5.3-3103-2-1/1,Устройство щебеночного основания при толщине слоя 10 см (без стоимости корыта),100 м2,1,Замена покрытия щебеночного в рамках благоустройства территории,91738678.0,02.03.03.11 ОБУСТРОЙСТВО ПОКРЫТИЙ И ЭЛЕМЕНТОВ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.3-3103-2-2/1,Добавляется или исключается на 1 см изменения толщины слоя щебеночного основания,100 м2,1,сопутсвующая работа к 5.3-3103-2-1/1,,,
5.3-3103-3-1/1,Устройство верхнего покрытия из гранитных высевок при толщине слоя 5 см,100 м2,1,Замена покрытия из гранитной высевки (мраморной крошки) в рамках благоустройства территорий объектов спорта,60046188.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Квадратный метр
5.3-3103-3-2/1,Добавляется или исключается на каждый 1 см изменения толщины слоя гранитных высевок,100 м2,1,сопутствующая работа к 5.3-3103-3-1/1,,,
5.3-3103-4-1/1,Устройство грунтовых дорожек и площадок с копкой корыта,100 м2,1,Устройство дорожно-тропиночной сети с грунтовым покрытием при благоустройстве парков,77612549.0,"02.03.04 СТРОИТЕЛЬСТВО ПАРКОВ, МЕСТ ОТДЫХА И ДОСУГА",Квадратный метр
5.3-3103-5-1/1,Устройство бортовой доски для устройства садовых дорожек и площадок,10 м,1,Устройство бортовой доски на особо охраняемых природных территориях,10571963.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Штука
5.3-3103-9-1/1,"Устройство бордюра из брусчатки гранитной пилено-колотой, установленной на ребро, вдоль садовых дорожек",100 м,1,Замена бортового камня (элемента сопряжения) на особо охраняемых природных территориях,10570197.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Погонный метр
5.3-3103-9-2/1,"Устройство бордюра из камня природного окатанного, установленного на ребро, вдоль садовых дорожек",100 м,1,Замена бортового камня (элемента сопряжения) на особо охраняемых природных территориях,10570197.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Погонный метр
5.3-3103-9-3/1,"Устройство бордюра из мелкоштучных камней, установленных на ребро, для клумб",100 м,1,Замена бортового камня (элемента сопряжения) на особо охраняемых природных территориях,10570197.0,02.03.05 СТРОИТЕЛЬСТВО НА ОСОБО ОХРАНЯЕМЫХ ПРИРОДНЫХ ТЕРРИТОРИЯХ (ООПТ),Погонный метр
5.3-3103-10-1/1,"Устройство покрытия ""искусственная трава""",100 м2,1,Замена покрытия «Искусственная трава» в рамках благоустройства территорий объектов спорта,60046190.0,02.03.12 РАБОТЫ ПО БЛАГОУСТРОЙСТВУ ТЕРРИТОРИЙ ОБЪЕКТОВ СПОРТА,Квадратный метр
5.3-3103-10-2/1,"Устройство разметочной полосы на покрытии ""искусственная трава""",100 м,1,сопутствующая работа к 5.3-3103-10-1/1,,,
5.3-3103-10-3/1,"Устройство покрытия ""искусственная трава"", засыпка покрытия ""искусственная трава"" песком",т,1,сопутствующая работа к 5.3-3103-10-1/1,,,
5.3-3103-10-4/1,"Устройство покрытия ""искусственная трава"", засыпка покрытия ""искусственная трава"" резиновой крошкой",т,1,сопутствующая работа к 5.3-3103-10-1/1,,,
5.3-3103-11-1/1,Устройство наливного полиуретанового покрытия спортивных площадок и беговых дорожек толщиной 10 мм,100 м2,1,Замена покрытия акрилового (хард) в рамках благоустройства территории,91742866.0,02.03.03.11 ОБУСТРОЙСТВО ПОКРЫТИЙ И ЭЛЕМЕНТОВ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.3-3103-11-2/1,"Устройство наливного полиуретанового покрытия спортивных площадок и беговых дорожек, добавляется на 2 мм толщины покрытия",100 м2,1,сопутствующая работа к 5.3-3103-11-1/1,,,
5.3-3104-1-1/1,"Разборка полиуретанового покрытия игровых площадок, спортивных дорожек и площадок - на асфальтобетонном основании",100 м2,1,Демонтаж покрытия акрилового (хард) в рамках благоустройства территории,91739592.0,02.03.03.11 ОБУСТРОЙСТВО ПОКРЫТИЙ И ЭЛЕМЕНТОВ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.3-3104-1-2/1,"Разборка полиуретанового покрытия игровых площадок, спортивных дорожек и площадок - на бетонном основании",100 м2,1,Демонтаж покрытия акрилового (хард) в рамках благоустройства территории,91739592.0,02.03.03.11 ОБУСТРОЙСТВО ПОКРЫТИЙ И ЭЛЕМЕНТОВ СОПРЯЖЕНИЯ ТЕРРИТОРИЙ,Квадратный метр
5.3-3105-12-1/1,Устройство водоотводных лотков из 1/2 асбестоцементных труб диаметром 100 мм на отмостке,10 м,1,Демонтаж лотка водосточного (решетка) в рамках благоустройства территории,91738436.0,02.03.03.10 ОБУСТРОЙСТВО ТЕРРИТОРИЙ ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ,Штука
5.3-3105-12-1/2,Устройство водоотводных лотков из 1/2 асбестоцементных труб диаметром 200 мм на отмостке,10 м,1,Демонтаж лотка водосточного (решетка) в рамках благоустройства территории,91738436.0,02.03.03.10 ОБУСТРОЙСТВО ТЕРРИТОРИЙ ЭЛЕМЕНТАМИ ИНЖЕНЕРНЫХ КОММУНИКАЦИЙ,Штука
5.3-3105-13-1/1,Замена песка в песочницах - выбрасывание песка из песочниц,м3,1,Ремонт игрового элемента песочницы в рамках благоустройства территории,91742427.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3105-13-2/1,Замена песка в песочницах - заполнение песочниц песком при толщине слоя 200 мм,100 м2,1,Ремонт игрового элемента песочницы в рамках благоустройства территории,91742427.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-1-1/1,Ремонт деревянных ворот,100 м2,1,Ремонт ворот (калитки) в рамках благоустройства территории,91742378.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-1-2/1,Ремонт деревянных калиток,100 м2,1,Ремонт ворот (калитки) в рамках благоустройства территории,91742378.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-1/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, металлическая горка (площадь металла 15,2 м2)",шт.,1,Ремонт игрового элемента горка в рамках благоустройства территории,91740335.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
5.3-3201-2-2/1,"Ремонт отдельных видов оборудования детских, спортивных и физкультурно-оздоровительных площадок, карусель 4-х местная без сидений с металлическим кругом (площади металла 6,76 м2)",шт.,1,Ремонт игрового элемента карусель в рамках благоустройства территории,91740339.0,02.03.03.06 ОБУСТРОЙСТВО МАФ ТЕРРИТОРИЙ,Штука
