,kpgz_code,kpgz_name,template_name
0,03.30.06.04,МЕТРОЛОГИЧЕСКОЕ ОБСЛУЖИВАНИЕ НЕ МЕДИЦИНСКИХ ИЗДЕЛИЙ,МЕТРОЛОГИЧЕСКОЕ ОБСЛУЖИВАНИЕ НЕ МЕДИЦИНСКИХ ИЗДЕЛИЙ
9,01.13.04.01.99,СИСТЕМЫ ОТОБРАЖЕНИЯ ИНФОРМАЦИИ ПРОЧИЕ,СИСТЕМЫ ОТОБРАЖЕНИЯ ИНФОРМАЦИИ ПРОЧИЕ
10,01.18.09,ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ УХОДА ЗА РАСТЕНИЯМИ,ОБОРУДОВАНИЕ И ИНВЕНТАРЬ ДЛЯ УХОДА ЗА РАСТЕНИЯМИ
11,01.11.02.03.01,"ИНСТРУМЕНТ МЕРИТЕЛЬНЫЙ ЭЛЕКТРОННЫЙ, ОПТИЧЕСКИЙ И ЭЛЕКТРОННО-ОПТИЧЕСКИЙ","ИНСТРУМЕНТ МЕРИТЕЛЬНЫЙ ЭЛЕКТРОННЫЙ, ОПТИЧЕСКИЙ И ЭЛЕКТРОННО-ОПТИЧЕСКИЙ"
12,01.04.02.01,ГОЛОВНЫЕ УБОРЫ ДЛЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ,ГОЛОВНЫЕ УБОРЫ ДЛЯ СПАСАТЕЛЬНЫХ СЛУЖБ И СЛУЖБ ГРАЖДАНСКОЙ ОБОРОНЫ
13,01.02.10.43.01.185,"РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ К ОБОРУДОВАНИЮ ""AUTOVUE"" И ""BIOVUE""","РЕАГЕНТЫ И РАСХОДНЫЕ МАТЕРИАЛЫ К ОБОРУДОВАНИЮ ""AUTOVUE"" И ""BIOVUE"""
14,01.26.04.02,"ИНДИКАТОРЫ, КРАСИТЕЛИ",ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
16,01.26.02.04.01.35,"1,2-ДИХЛОРЭТАН (РЕАКТИВ)",ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
17,01.26.02.04.03.06,"1,2,3-ТРИХЛОРБЕНЗОЛ (РЕАКТИВ)",ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
18,01.26.02.04.03.04,"1,2,4-ТРИХЛОРБЕНЗОЛ (РЕАКТИВ)",ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
19,01.26.02.04.03.05,"1,3,5-ТРИХЛОРБЕНЗОЛ (РЕАКТИВ)",ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
20,01.26.02.04.03.02,"1,3-ДИХЛОРБЕНЗОЛ (РЕАКТИВ)",ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
21,01.26.02.04.03.57,"1,3-ЦИКЛОГЕКСАНДИОН (РЕАКТИВ)",ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
22,01.26.02.04.03.03,"1,4-ДИХЛОРБЕНЗОЛ (РЕАКТИВ)",ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
23,01.26.02.04.03.01,1-НАФТИЛАМИН (РЕАКТИВ),ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
25,01.26.02.04.03.07,1-ФЕНИЛПИРАЗОЛИДОН-3 (РЕАКТИВ),ПОСТАВКА ХИМИЧЕСКИХ ВЕЩЕСТВ
26,01.13.14.06,"РАСХОДНЫЕ МАТЕРИАЛЫ И КОМПЛЕКТУЮЩИЕ ДЛЯ КИНО- И ВИДЕОТЕХНИКИ, ФОТОГРАФИЧЕСКОГО ОБОРУДОВАНИЯ","РАСХОДНЫЕ МАТЕРИАЛЫ И КОМПЛЕКТУЮЩИЕ ДЛЯ КИНО- И ВИДЕОТЕХНИКИ, ФОТОГРАФИЧЕСКОГО ОБОРУДОВАНИЯ"
