Шифр расценки и коды ресурсов,Наименование работ и затрат,Ед. изм.,Unnamed: 3,Наименование СПГЗ,ID,КПГЗ,Единица измерения,Unnamed: 8
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Демонтаж элементов шумозащиты в рамках благоустройства территории,91738826.0,02.03.03.08 ОБУСТРОЙСТВО ТЕРРИТОРИЙ ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА,Штука,
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Демонтаж элементов шумозащиты в рамках благоустройства территории,91738826.0,02.03.03.08 ОБУСТРОЙСТВО ТЕРРИТОРИЙ ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА,Штука,
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Демонтаж элементов шумозащиты в рамках ремонтно-восстановительных работ на объектах благоустройства,91739333.0,02.06.05.07 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА ТЕРРИТОРИЙ,Штука,
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Замена элементов шумозащиты в рамках благоустройства территории,91738836.0,02.03.03.08 ОБУСТРОЙСТВО ТЕРРИТОРИЙ ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА,Штука,
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Замена элементов шумозащиты в рамках ремонтно-восстановительных работ на объектах благоустройства,91739323.0,02.06.05.07 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА ТЕРРИТОРИЙ,Штука,
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Устройство элементов шумозащиты в рамках благоустройства территории,91742557.0,02.03.03.08 ОБУСТРОЙСТВО ТЕРРИТОРИЙ ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА,Штука,
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Устройство элементов шумозащиты в рамках ремонтно-восстановительных работ на объектах благоустройства,91742759.0,02.06.05.07 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА ТЕРРИТОРИЙ,Штука,
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Устройство элементов шумозащиты при благоустройстве парков,,,, штука
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Демонтаж элементов ветрозащиты в рамках благоустройства территории,91738822.0,02.03.03.08 ОБУСТРОЙСТВО ТЕРРИТОРИЙ ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА,Штука,
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Демонтаж элементов ветрозащиты в рамках ремонтно-восстановительных работ на объектах благоустройства,91742771.0,02.06.05.07 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА ТЕРРИТОРИЙ,Штука,
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Замена элементов ветрозащиты в рамках благоустройства территории,91743607.0,02.03.03.08 ОБУСТРОЙСТВО ТЕРРИТОРИЙ ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА,Штука,
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Замена элементов ветрозащиты в рамках ремонтно-восстановительных работ на объектах благоустройства,91739325.0,02.06.05.07 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА ТЕРРИТОРИЙ,Штука,
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Устройство элементов ветрозащиты в рамках благоустройства территории,91743219.0,02.03.03.08 ОБУСТРОЙСТВО ТЕРРИТОРИЙ ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА,Штука,
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Устройство элементов ветрозащиты в рамках ремонтно-восстановительных работ на объектах благоустройства,91742202.0,02.06.05.07 РАБОТЫ РЕМОНТНО-ВОССТАНОВИТЕЛЬНЫЕ СВЯЗАННЫЕ С ЭЛЕМЕНТАМИ ОРГАНИЗАЦИИ РЕЛЬЕФА ТЕРРИТОРИЙ,Штука,
3.27-101-1,Устройство шумозащитного экрана из панелей алюминиевых или стальных оцинкованных со звукопоглощающими вкладышами,100 м2,1,Устройство элементов ветрозащиты при благоустройстве парков,,,, штука
